"path","asset_type","size_bytes","modified_time","sha256","likely_purpose","associated_experiment","scientific_relevance","current_usability","validation_status","problems_detected"
"artifacts/publication_baseline/MODEL_CARD.md","narrative_or_log","1515","2026-07-24T06:09:38.4577012Z","5368d68b398cb4c2e6abf5a5cd3f0cced8620b31706627e9ffd023b75a5038e9","Narrative governance provenance or log record","","Context/audit trail","Cite underlying machine-readable evidence","NOT SCIENTIFIC EVIDENCE",""
"artifacts/publication_baseline/pmps01_gate.json","machine_readable_report_or_registry","443","2026-07-24T06:09:38.4783858Z","c802d881509fb8fb71f6c518d33b7015982fb3a64e2f013aca1fb50703fd3c99","Repository asset","","Supporting or operational","Inspect before reuse","UNVERIFIED",""
"artifacts/publication_baseline/PUBLICATION_BASELINE.md","narrative_or_log","1320","2026-07-24T06:09:38.4783858Z","e330f09156b04db585ef5b0af49d3b0775aa550efbc32dcde0fa2cf10c5df9ef","Narrative governance provenance or log record","","Context/audit trail","Cite underlying machine-readable evidence","NOT SCIENTIFIC EVIDENCE",""
"artifacts/publication_baseline/repository_inventory.json","machine_readable_report_or_registry","2796520","2026-07-24T06:08:54.3444411Z","849f39576bed3b3c5540a72d5355df66fec570d39c96adbe23f2128afda6ff02","Repository asset","","Supporting or operational","Inspect before reuse","UNVERIFIED",""
"artifacts/publication_baseline/repository_tree.txt","narrative_or_log","2073337","2026-07-24T06:08:54.4151548Z","715ffd84f585c16974f75de04937f069a5f981b8984d467675acbbde3c4b66e1","Narrative governance provenance or log record","","Context/audit trail","Cite underlying machine-readable evidence","NOT SCIENTIFIC EVIDENCE",""
"artifacts/publication_baseline/requirements_frozen.txt","configuration_or_environment","5866","2026-07-24T06:09:03.8937523Z","41893060bb557981edbf083b58f16132827d7a9f3ae7b1b8e8aaf6192ab646dd","Configuration/environment specification","","Reproducibility support","Freeze afresh for future runs","PROVISIONALLY USABLE",""
"artifacts/publication_baseline/RESEARCH_GOVERNANCE.md","narrative_or_log","660","2026-07-24T06:09:38.4714665Z","0999efa696424c1cca5079ddc3aeeca5ea73f3d981dd8559961eda3222048532","Narrative governance provenance or log record","","Context/audit trail","Cite underlying machine-readable evidence","NOT SCIENTIFIC EVIDENCE",""
"artifacts/research_audit/bias_analysis.json","machine_readable_report_or_registry","825","2026-07-24T06:06:43.8799115Z","e5c263c0c2ff8347f6c47a22a1ef54c7ef953ffc8ad6ddd8f60af39720fc86a3","Repository asset","","Supporting or operational","Inspect before reuse","UNVERIFIED",""
"artifacts/research_audit/calibration_audit.json","machine_readable_report_or_registry","282","2026-07-24T06:06:43.8426134Z","c337656b5c1fdfbf3935714d955b88d2a9d9b722c7e9eb5a39c255fa4ff75a37","Repository asset","","Supporting or operational","Inspect before reuse","UNVERIFIED",""
"artifacts/research_audit/dataset_summary.json","machine_readable_report_or_registry","725","2026-07-24T06:06:43.2130478Z","c0a3c31f5ea90f5b8ba2ac8ae14e0ae6f0ffaec33ce873d76df709aeca2773e6","Repository asset","","Supporting or operational","Inspect before reuse","UNVERIFIED",""
"artifacts/research_audit/duplicate_hash_report.csv","machine_readable_report_or_registry","2","2026-07-24T06:06:43.8335099Z","7eb70257593da06f682a3ddda54a9d260d4fc514f645237f5ca74b08f8da61a6","Repository asset","","Supporting or operational","Inspect before reuse","DUPLICATED","Byte-identical duplicate group: artifacts/research_audit/duplicate_hash_report.csv; artifacts/research_audit/segment_overlap_report.csv"
"artifacts/research_audit/machine_split_table.csv","machine_readable_report_or_registry","336","2026-07-24T06:06:43.2813202Z","ba0101d54e30460e144a1c1180d50886a415c4dff332dea7ff610a0936b915b6","Repository asset","","Supporting or operational","Inspect before reuse","DUPLICATED","Byte-identical duplicate group: artifacts/research_audit/machine_split_table.csv; reports/per_machine_id_results.csv"
"artifacts/research_audit/normalization_audit.json","machine_readable_report_or_registry","398","2026-07-24T06:06:43.8345053Z","eca2a7a19d4740ba58e3341cce7b467196f8372294d363d1654dc6a36a342b3e","Repository asset","","Supporting or operational","Inspect before reuse","UNVERIFIED",""
"artifacts/research_audit/segment_overlap_report.csv","machine_readable_report_or_registry","2","2026-07-24T06:06:43.3540916Z","7eb70257593da06f682a3ddda54a9d260d4fc514f645237f5ca74b08f8da61a6","Repository asset","","Supporting or operational","Inspect before reuse","DUPLICATED","Byte-identical duplicate group: artifacts/research_audit/duplicate_hash_report.csv; artifacts/research_audit/segment_overlap_report.csv"
"artifacts/research_audit/shortcut_learning_report.json","machine_readable_report_or_registry","2138","2026-07-23T04:20:54.8418768Z","1cb92f875d060a552e60cc04642b72c1740e8a47da8b81e0160ec31eb37b320f","Repository asset","","Supporting or operational","Inspect before reuse","UNVERIFIED",""
"artifacts/research_audit/threshold_audit.json","machine_readable_report_or_registry","990","2026-07-24T06:06:43.8456220Z","30f94e08a9d8bf70ffae1deb1d7bc0eacb8e2cb1e9a5406f2553d569ffe2bd6b","Repository asset","","Supporting or operational","Inspect before reuse","UNVERIFIED",""
"artifacts/threshold_metadata.json","machine_readable_report_or_registry","1491","2026-07-21T06:28:55.7599030Z","8b028a491b9b60366cb7c398bcea2c51e283638b506e8a14024b485a38b035db","Repository asset","","Supporting or operational","Inspect before reuse","UNVERIFIED",""
"benchmark.py","source_code","10031","2026-07-20T09:46:10.4271796Z","0c0c4fbac7ccaa80f5e2492bc51dbba2f4319ca976740a2100d07215d4ab1082","Executable implementation","","Capability evidence only","Validate before scientific use","UNVERIFIED",""
"calibrate.py","source_code","3885","2026-07-20T09:46:10.4295585Z","07b822328b3faa0ff6e59efea9314d34ac5bc96dcd5f243ff415269d5b0bef51","Executable implementation","","Capability evidence only","Validate before scientific use","UNVERIFIED",""
"chatgpt_context/CHATGPT_CURRENT_HANDOFF.md","narrative_or_log","3281","2026-07-21T11:46:15.2665081Z","a5f36ab955ebbbdba82dc6a07eab71bd09b6cda4304bc412ebb79871cf7ec93e","Narrative governance provenance or log record","","Context/audit trail","Cite underlying machine-readable evidence","NOT SCIENTIFIC EVIDENCE",""
"chatgpt_context/CHATGPT_END_SESSION_PROMPT.md","narrative_or_log","2520","2026-07-21T11:47:01.0677253Z","3764f7b25be170421883680db20ca71c641699687befbe9bfbbcb815a07a4a74","Narrative governance provenance or log record","","Context/audit trail","Cite underlying machine-readable evidence","NOT SCIENTIFIC EVIDENCE",""
"chatgpt_context/CHATGPT_MASTER_CONTEXT.md","narrative_or_log","3810","2026-07-21T11:45:47.4264826Z","cbcb447166395654e44a5a896e5fcffbb6710e09fb11956e67ef5d45b7d7c1f7","Narrative governance provenance or log record","","Context/audit trail","Cite underlying machine-readable evidence","NOT SCIENTIFIC EVIDENCE",""
"chatgpt_context/CHATGPT_START_PROMPT.md","narrative_or_log","2264","2026-07-21T11:46:41.6011921Z","ffa785b139ff7261b4f3ff2d2aa64b708d67626816496efe1882d469df6cc7be","Narrative governance provenance or log record","","Context/audit trail","Cite underlying machine-readable evidence","NOT SCIENTIFIC EVIDENCE",""
"chatgpt_context/CHATGPT_TASK_TEMPLATE.md","narrative_or_log","1681","2026-07-21T11:47:25.8154806Z","2a2528d2b347493fc2c62ee080686345e1ee18cc248f1465e9f3518a6911722b","Narrative governance provenance or log record","","Context/audit trail","Cite underlying machine-readable evidence","NOT SCIENTIFIC EVIDENCE",""
"checkpoints/best_model.pt","checkpoint","261427078","2026-07-21T14:14:12.0719293Z","7d58293ea5138b730811bb261de0b971a8a5e4e52665961b48f2f4a4d85ad7e9","Selected EXP-CHAAD-001 checkpoint evidence","EXP-CHAAD-001","Direct model artifact","Diagnostic reuse after validation","PROVISIONALLY USABLE","Single underfit run; incomplete exact provenance"
